Category,Location,Investors
Consumer Internet,Bangalore,"Delta Partners, Sequoia India,\\xc2\\xa0 Mayfield, Blacksoil, Trifecta Capital"
Technology,Mumbai,"IDG Ventures, Axilor Ventures"
eCommerce,Bangalore,"Lightspeed Venture Partners India, Lightspeed US"
Consumer Internet,Indore,Dr. Pooja Gandhi
Consumer Internet,Bangalore,Venture Highway
Consumer Internet,Mumbai,"Lightspeed India Partners, SAIF Partners, India Quotient, Venture Highway"
Consumer Internet,Gurgaon,Franchise India
Consumer Internet,Mumbai,"Blume Ventures, BEENEXT, Barkawi Holdings GmbH, TM Service Technology Holdings Gmbh, Sreevathsa Prabhakar"
Consumer Internet,Ahmedabad,"Girish Mathrubootham, VC Karthic, Miten Mehta, Umasankar Nistala, Rakesh Patel, Akash Bhavsar, Jeevanandhan Rajagopal, Vikas Chadha & Others"
Consumer Internet,Mumbai,Reliance Entertainment
Consumer Internet,Kolkata,Xelpmoc
Consumer Internet,Bangalore,"Paytm, Aprameya Radhakrishna, Subramanya Venkat, Venk Krishnan"
Consumer Internet,Bangalore,Undisclosed Investor
eCommerce,Jaipur,"Manish Maheshwari, Contrarian Vriddhi Fund"
Consumer Internet,Noida,Mohit Sharma
Consumer Internet,New Delhi,"Prime Venture Partners, Kalaari Capital"
Consumer Internet,Goa,"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others"
eCommerce,Bangalore,"Anand Sankeshwar, Yang Shu"
eCommerce,Bangalore,"Shekhar Sahu, Nitesh Pant"
Technology,Bangalore,"Dileep Bhatt, Milind Chaudhary"
Technology,Bangalore,Exfinity Venture Partners
Food & Beverage,Noida,Quarizon
Technology,Pune,Krishna Rokhale
Consumer Internet,Vadodara,Menterra Social Impact Fund
Consumer Internet,Bangalore,SAIF Partners
Consumer Internet,Bangalore,Blume Ventures & Others
Consumer Internet,Mumbai,TVS Group
eCommerce,Bangalore,Mahindra Univeg
Consumer Internet,Bangalore,Recruit Holdings
Consumer Internet,Bangalore,"American Express Ventures, Sequoia Capital"
Technology,Chennai,"IDG Ventures, Indian Angel Network (IAN), YourNest Angel Fund"
eCommerce,Gurgaon,Viraj Tyagi & Others
eCommerce,Bangalore,Mahindra Holidays & Resorts India Ltd
eCommerce,Mumbai,"BeeNext, TV Mohandas Pai, Kunal Shah, Sandeep Tandon"
Consumer Internet,Mumbai,Ratan Tata
eCommerce,Noida,"Naveen Arya, Tarun Joshi"
eCommerce,Noida,"Accel Partners, Jungle Ventures, SeedPlus"
Consumer Internet,Hyderabad,"Xchange Investors NV, TransGlobal FZC"
Consumer Internet,Pune,3One4 Capital
Consumer Internet,Mumbai,"Vijay Shekhar Sharma, Pravin Gandhi,\\xc2\\xa0 Smart Start Fund; Kunal Shah,\\xc2\\xa0 Sandeep Tandon, Vishal Gondal, & Others"
Consumer Internet,Gurgaon,"Mistletoe, M&S Partners"
Consumer Internet,Mumbai,"Zodius Capital, Kalaari Capital, Qualcomm Ventures, Russian venture capital fund Ru-Net, Mumbai Angels"
Consumer Internet,Pune,Undisclosed Investor
Consumer Internet,Mumbai,"White Unicorn Ventures, Kae Capital, Mumbai Angels"
Technology,Bangalore,"Indian Angel Network, Healthsquad, Axilor Ventures"
Technology,Mumbai,"Kiran Mazumdar-Shaw, Unitus Seed Fund"
Consumer Internet,Bangalore,Ventureast Fund Advisors
Technology,Noida,Hyderabad Angels
Consumer Internet,Noida,Sumpoorna Group
eCommerce,Bangalore,"Helion Venture Partners, BeeNext"
Technology,Bangalore,HAX Accelerator
Technology,Mumbai,"HDFC, Faering Capital, Elevate Sports"
Consumer Internet,Mumbai,"Sanjay Nayar, Vikram Sud, Anil Jaggia, Narayan Seshadri"
Technology,Kolkata,Radhakrishnan Natarajan & Others
eCommerce,New Delhi,undisclosed investor
Consumer Internet,Bangalore,Emerald Media
Consumer Internet,Gurgaon,"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries"
Consumer Internet,New Delhi,"GrowX Ventures, Sunil Kalra, Arun Venkatachalam,\\xc2\\xa0 Badal Malick"
ecommerce,Noida,"India Quotient, FAO Ventures, Indian Angel Network, Tushar Singh, Ranjan Sharma"
eCommerce,Agra,Indian Angel Network
Consumer Internet,Bangalore,Rajan Anandan
Technology,Ahmedabad,Virendra Patel
Consumer Internet,New Delhi,Undisclosed
Consumer Internet,Bangalore,Nexus Venture Partners
Finance,Hyderabad,Gray Matters Capital
Technology,Gurgaon,Quarizon Consultancy Services LLP
Consumer Internet,Mumbai,Karan Bhagat
Consumer Internet,Bangalore,Punit Soni
Consumer Internet,Bangalore,"ByteDance, Arun Sarin, Matrix Partners, Sequoia Capital India, Omidyar Network,\\xc2\\xa0 Falcon Edge"
Consumer Internet,Hyderabad,DSG Consumer Partners
Consumer Internet,Mumbai,"Mayank Shah, Shreyans Shah"
Technology,Bangalore,"Vishnu Bhat, Rajiv Lunkad, Naresh Ravindranath"
Consumer Internet,New Delhi,"Boman Irani, Dhruv Chitgopekar, Prantik Dasgupta"
Consumer Internet,Gurgaon,Hemant Sahni
Others,Mumbai,Bravia Capital
Technology,New Delhi,Newbie Promoters
Consumer Internet,Mumbai,RoundGlass Partners
eCommerce,Pune,Ganesh Natarajan
Technology,Noida,General Catalyst Partners
Technology,Bangalore,"Hyderabad Angels, TLabs"
Consumer Internet,Bangalore,"Lightbox Ventures, Axis Capital & Others"
Consumer Internet,Bangalore,"Saama Capital, Raghunandan G, Aprameya Radhakrishna"
Technology,Mumbai,Next Orbit Ventures Fund
Consumer Internet,Bangalore,Ranjan Pai
Consumer Internet,Mumbai,Mobikon
Consumer Internet,Noida,"Helion Ventures, Blume ventures"
Consumer Internet,Mumbai,Janak Jain
eCommerce,Bangalore,KAE capital
Consumer Internet,Gurgaon,BEENEXT
Consumer Internet,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures"
eCommerce,Bangalore,Sequoia Capital
Consumer Internet,Mumbai,India Quotient
Technology,New Delhi,Swastika Company Ltd
eCommerce,Gurgaon,Nimit Panigrahi
Technology,Gurgaon,Lalit Vase
Consumer Internet,New Delhi,Undisclosed investor
Consumer Internet,Bangalore,"Astarc Ventures, Anand Chandrasekaran"
eCommerce,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands"
Consumer Internet,Bangalore,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd."
Technology,Chennai,Omnivore Partners
Technology,Bangalore,Hero MotoCorp
Logistics,Bangalore,"Ajay Nanavati, Afsal Salu"
Technology,New Delhi,Kalaari Capital
Technology,Chennai,Kalaari Capital
Technology,Bangalore,Kalaari Capital
Technology,Bangalore,"Aarin Capital, Michael Herzig, Ashish Lakhanpal"
Consumer Internet,Mumbai,Karanpal Singh & Others
Technology,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,"
Technology,Kolkata,Accel Partners
eCommerce,Hyderabad,Pradeep Dhobale
Technology,New Delhi,Amit Choudhary
Technology,Kochi,Grasshoppers
Technology,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate"
eCommerce,New Delhi,William Bissel
eCommerce,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak"
Consumer Internet,Mumbai,Undisclosed Investors
eCommerce,New Delhi,PremjiInvest
Consumer Internet,Mumbai,Info Edge (India) Ltd
eCommerce,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group.\\xc2\\xa0 Wavemaker Partners, Beenext, Beenos, Digital Garage"
Consumer Internet,New Delhi,Eros Labs
Education,Bangalore,InnoVen Capital India
eCommerce,Gurgaon,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki"
Education,Bangalore,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,"
eCommerce,Bangalore,Idein Ventures
Education,Bangalore,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures"
Consumer Internet,Bangalore,Anand Chandrasekaran
eCommerce,Hubli,Ravi Linganuri
Consumer Internet,New Delhi,Dr. Rameshwar Kumar
Consumer Internet,Noida,"havya Sharma, Amit Nagar"
Consumer Internet,New Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni"
Consumer Internet,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan"
Technology,Pune,Fork Media
eCommerce,Mumbai,"Sunil Munjal, Mariwala family"
Consumer Internet,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal"
Consumer Internet,Bangalore,Raj Singh Bhandal
Consumer Internet,Delhi,Ratan Tata
eCommerce,Agra,Indian Angels Network
Consumer Internet,Gurgaon,BlackSoil Capital Pvt. Ltd.
Consumer Internet,Kolkata,Calcutta Angels Network
Consumer Internet,Bangalore,"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others"
eCommerce,Bangalore,Scadea Solutions Inc
Consumer Internet,Gurgaon,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,\\xc2\\xa0 Vivek Bhargava, Rahul Singh, Ambarish Gupta,"
eCommerce,Bangalore,Lightbox Ventures and others
Consumer Internet,Bangalore,Nexus Venture Partners
Consumer Internet,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem"
Consumer Internet,Gurgaon,RoundGlass Partners
Consumer Internet,Bangalore,Accel Partners
Technology,New Delhi,Gray Matters Capital
Consumer Internet,Bangalore,Bessemer Venture Partners
Consumer Internet,Bangalore,CIO Angel Network
eCommerce,Hyderabad,LetsVenture
Technology,New Delhi,Sumit Jain
Consumer Internet,Bangalore,Undisclosed Investors
Consumer Internet,Vadodara,"KellyGamma, Lead Angels & Others"
eCommerce,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India"
eCommerce,Ahmedabad,Lothal Angel Ventures
Consumer Internet,New Delhi,Anglian Omega Network
Consumer Internet,New Delhi,Carpediem Capital
Consumer Internet,Bangalore,"Accel Partners, Beenext, Powerhouse Ventures, Akusa Holdings"
Technology,Bangalore,Rebright Partners
Technology,Bangalore,Undisclosed investors
Technology,Pune,"Currae Healthtech Fund, Unicorn India Ventures"
Technology,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures"
Consumer Internet,Bangalore,Rohit MA
Consumer Internet,Mumbai,Idea Wave Labs
Technology,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal"
Consumer Internet,New Delhi,Scale Ventures Funds
Consumer Internet,Chennai,Procam International Pvt. Ltd
Consumer Internet,Bangalore,Flipkart Logistics Pvt. Ltd
Consumer Internet,Mumbai,Pratik Seal
eCommerce,Ahmedabad,Venture Catalysts
Consumer Internet,Indore,Swastika Co Ltd.
Consumer Internet,Hyderabad,Endiya Partners
Technology,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital"
eCommerce,New Delhi,Now Capital
eCommerce,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta"
Consumer Internet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club"
Consumer Internet,Pune,Deepak Nathani
Technology,Mumbai,Bhavin Turakhia
Consumer Internet,Jaipur,Rajasthan Angel Innovators Network
eCommerce,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital"
Consumer Internet,Bangalore,"Mudit Saxena, Evan Lim"
Consumer Internet,Pune,Undisclosed HNIs
eCommerce,Bangalore,InnoVen Capital
Consumer Internet,Pune,Syska LED group
Consumer Internet,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media"
Consumer Internet,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati"
Food & Beverage,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain"
Healthcare,Chennai,RoundGlass Partners
Consumer Internet,Gurgaon,Brand Capital
Consumer Internet,Mumbai,Paul Roy
Consumer Internet,Bangalore,Existing Investors
Others,New Delhi,Anglian Omega Network
Healthcare,Bangalore,"Inventus Capital Partners, Blume Ventures & Others"
Technology,Kerala,Promatus Group
Technology,New Delhi,"Geniee, Inc, Purvi Capital"
Others,Mumbai,Swastika Company Ltd.
eCommerce,Gurgaon,Undisclosed Investors
Consumer Internet,Mumbai,1Crowd (through crowd funding)
Healthcare,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE)
Technology,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE)
Consumer Internet,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others"
eCommerce,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others"
Consumer Internet,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd"
Consumer Internet,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others"
Consumer Internet,Mumbai,1Crowd (through crowdfunding)
Technology,Hyderabad,"Norwest Venture Partners, Accel India"
Technology,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,"
Consumer Internet,Gurgaon,Brand Capital
Technology,Noida,Westbridge Capital Partners
Technology,Gurgaon,Undisclosed Investors
Consumer Internet,New Delhi,"HT Media Ltd, North Base Media"
ECommerce,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese"
ECommerce,Gurgaon,Ashvin Chadha
Consumer Internet,New Delhi,SoftBank Group
Consumer Internet,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises"
eCommerce,Mumbai,"Powerhouse Ventures, M&S Partners"
eCommerce,Ahmedabad,Brand Capital
Technology,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd"
Consumer Internet,Mumbai,Undisclosed Dubai based HNIs
Logistics,Indore,"Swan Angel Network,Sachin Khandelwal and others"
Technology,Bangalore,Swan Angel Network
Technology,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates"
Logistics,Bangalore,Indian Angel Network
eCommerce,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati"
Technology,Kozhikode,Speridian Technologies
Consumer Internet,Mumbai,Brand Capital
Technology,Bangalore,Rainmatter
Technology,Chennai,Aspire Systems
Consumer Internet,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others"
healthcare,Mumbai,Torrent Group
Consumer Internet,Mumbai,"Saha Fund, Exfinity Venture Partners & Others"
Technology,New Delhi,Vijay Kedia
Consumer Internet,New Delhi,"Riju Gupta, Kamal Chabra"
Consumer Internet,Mumbai,Dr. Goutam Challagalla
Technology,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal"
Consumer Internet,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani"
Consumer Internet,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian"
Technology,Chandigarh,Kalaari Capital
eCommerce,Bangalore,Kalaari Capital
Technology,Gurgaon,"Vineet Taneja, Kamal Puri"
eCommerce,Mumbai,Mohit Lalvani
Education,Noida,Michael and Susan Dell Foundation
eCommerce,Mumbai,Trifecta Capital
Consumer Internet,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs"
Technology,Indore,Scale Ventures
Healthcare,Bangalore,CureFit
Technology,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha"
Consumer Internet,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve"
Consumer Internet,Bangalore,Ford Smart Mobility Llc
Consumer Internet,Gurgaon,Instalabs
Consumer Internet,Gurgaon,Net1 UEPS Technologies Inc
Consumer Internet,Mumbai,Undisclosed Ex Mckinsey Directors and Partners
Consumer Internet,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran"
Consumer Internet,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra"
Consumer Internet,Bangalore,"Nexus Venture Partners, Blume Ventures"
Consumer Internet,Noida,Hitouch AG
Consumer Internet,Chennai,Undisclosed HNI investors
Consumer Internet,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures"
Technology,Gurgaon,Rajasthan Angel Investor Network & Others
Consumer Internet,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others"
eCommerce,Bangalore,MediaTek Inc.
Technology,Bangalore,Sophia Investment ApS
Consumer Internet,Bangalore,Info Edge (India) Ltd
Technology,Mumbai,Ambit Pragma
eCommerce,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures"
Consumer Internet,Mumbai,"Sarbvir Singh, Raghav Bahl"
Consumer Internet,Bangalore,MasterCard
Technology,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners"
Consumer Internet,Mumbai,Zaffiro Ventures
Consumer Internet,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd."
Consumer Internet,Bangalore,SAIF Partners
Consumer Internet,Mumbai,India Quotient
Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital"
eCommerce,Mumbai,Deepak Gupta
Logistics,Mumbai,Aramex Ventures Llc
Consumer Internet,US,Rajan Anandan
Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada"
Consumer Internet,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others
Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners"
eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain"
eCommerce,New Delhi,Info Edge (India) Ltd
Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures"
Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin"
Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,"
Consumer Internet,New Delhi,Indian Angel Network
Logistics,Gurgaon,"AVG Group, 500 Startups"
Technology,Mumbai,Rothenberg Ventures
Consumer Internet,Bangalore,"Alex Chua, Rahul Garg"
Consumer Internet,Mumbai,"Kalaari Capital, India Quotient"
eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures"
Technology,Gurgaon,Brian Acton
eCommerce,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works"
Technology,Gurgaon,Sequoia Capital
Consumer Internet,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels"
Consumer Internet,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet"
Consumer Internet,Chandigarh,"Ashish Mahajan, Sarvesh Sharma"
Consumer Internet,New Delhi,"Rishi Parti, Yogesh Bansal"
Consumer Internet,New Delhi,Rainmaker Ventures
Consumer Internet,Chennai,Ajay Piramal
Consumer Internet,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia"
Consumer Internet,Bangalore,"SAIF Partners, India Quotient"
Consumer Internet,Bangalore,Unitus Seed Fund
Consumer Internet,Bangalore,"Accel Partners, IDG Ventures India"
Consumer Internet,Gurgaon,Brand Capital
Healthcare,Mumbai,"Jaspal Bindra, Parth Jindal"
eCommerce,Coimbatore,Keiretsu Forum
Technology,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others"
Consumer Internet,New Delhi,500 Startups
Technology,Pune,SRI Capital
Consumer Internet,Bangalore,undisclosed investors
eCommerce,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan"
eCommerce,New Delhi,GEMS group
eCommerce,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay"
Consumer Internet,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures"
Consumer Internet,Pune,SRI Capital
Consumer Internet,New Delhi,SRI Capital
eCommerce,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments"
Technology,Mumbai,Intelli Reboot Digital Pvt. Ltd
Technology,Pune,Satish Jamdar
Technology,New Delhi,Star India Pvt. Ltd
