Category,Location,Investors
Healthcare,Faridabad,CDC Group Plc
Consumer Internet,Gurugram,"Man Capital LLP, Girnar Software, Others"
Consumer Internet,Ahemdabad,"Bhavesh Manglani, Suraj Saharan, Darshan Upadhyay, Sanjay Notani & Others"
Healthcare,Bengaluru,Montane Ventures
Food and Beverages,Bengaluru,Naspers
Healthcare,Pune,Sandeep Mathur
Consumer Internet,Pune,Meritech Capital Partners
Healthcare,Bengaluru,Sistema Asia Fund
Healthcare,Bhubaneswar,British and Indian Governments
Consumer Internet,Bengaluru,"Accel Partners, Sequoia Capital"
Technology,Mumbai,Social Capital
Finance,Bengaluru,Fullerton Financial Holdings Pte Ltd & Others
Consumer Internet,Gurugram,"Bessemer Venture Partners, Stellaris Venture Partners, Axis Capital, Singapore, Jungle Venture Partners"
E-Commerce,Gurugram,Trifecta Capital
Food and Beverages,Mumbai,Ashok Kumar Gajera
Technology,Ahmedabad,Tribe Impact Capital LLP
Ed-Tech,Bengaluru,"Michael & Susan Dell Foundation, LGT Impact Ventures"
Ed-Tech,Chennai,Kalpavriksh
Ed-Tech,Mumbai,Axis Capital Partners
Ed-Tech,Mumbai,"Dewang Neralla, Mahesh Kothurkar,Atul Agarwal"
Technology,Mumbai,S7 Group
Consumer Internet,Gurugram,Michael Patrick Hickey
E-Commerce,Ahemadabad,Network 18
Finance,Bengaluru,Sequoia and Jerry Yang
Finance,Mumbai,"Mohammed Khan, Sameer Narayan & Others"
Finance,Gurugram,"Hinduja Leyland Finance, IntelleGrow"
Agriculture,Mumbai,Ankur Capital
E-Commerce,Bengaluru,Lightspeed & Yuri Milner
IT,Bengaluru,"Wargburg Pincus, Sequoia"
Healthcare,Gurugram,"Blume Ventures, HealthQuad and Fireside Ventures"
Technology,Hyderabad,"PNC, Citi Ventures"
Ed-Tech,Delhi,Auxano Deals
Technology,Chennai,"Kris Gopalakrishnan, Pratithi Investment Trust, MEMG Family Office, S Gopal"
Technology,Bengaluru,Dr Devi Shetty
Technology,Mumbai,"Startup Buddy,Amit Manocha and others"
Technology,Gurugram,"Tencent Holdings Ltd, Times Internet"
IT,Bengaluru,"Y Combinator, Khosla Ventures, Vy Capital and others"
Healthcare,Bengaluru,Unitus Seed Fund
Technology,Mumbai,"Recruit Holdings, Sequoia Capital India, Accel Partners"
Finance,Pune,Eight Roads Ventures India
E-commerce,Bengaluru,"Claris Capital, Mumbai Angels Network"
E-commerce,Bengaluru,Rohan Agila
Finance,Ahmedabad,Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.
Entertainment,Mumbai,
Technology,Bengaluru,RuNet & Other
E-commerce,Delhi,Amazon-Patni JV
Finance,Chennai,"responsAbility, Elevar Equity and Accel Partners"
Technology,Surat,Morgan Stanley Private Equity Asia
Technology,Gurgaon,"Pankaj Chopra, Ankush Gupta"
Technology,Bengaluru,"Tiger Global, Y Combinator"
Technology,Bengaluru,"Indian fintech fund, Rainmatter"
Finance,Bengaluru,"Sunil Kant Munjal, Hero Electronix\\xe2\\x80\\x99s corporate financing arm, Electronic Development Fund"
Technology,New Delhi,"Goldman Sachs, hedge fund & Others"
Technology,Pune,Polaris Fund
Technology,Bengaluru,"Xiaomi Singapore, Shunwei Capital"
Technology,Chennai,The Chennai Angels
Consumer Internet,Bangalore,Lionrock Capital
Technology,Bengaluru,"Incubate Fund India, Anuj Agrawal"
Finance,Chennai,DMI Finance
Technology,Bengaluru,Dr. Ranjan Pai
E-commerce,Gurugram,Unilever Ventures
Finance,Mumbai,"LeapFrog Investments, Aspada Investment, Quona Capital"
Education,Mumbai,Avendus Finance
Finance,Gurugram,IFMR Capital
Ecommerce,Bengaluru,"Chennai Angels, Lead Angels, LetsVenture"
Technology,Mumbai,Pravega Ventures
Healthcare,Bengaluru,RNT Capital
Healthcare,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, Touchstone Equities, BVR Mohan Reddy"
Consumer internet,Mumbai,Blume Ventures
Healthcare,Gurugram,"Shivani Singh, Rahul Maroli, Mitesh Shah, Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures."
Technology,Mumbai,Accel Partners
Technology,Bengaluru,"Axilor Ventures, Newfort Capital"
Technology,Mumbai,Undisclosed Investors
Healthcare,Bengaluru,"HDFC Bank, Axis Bank"
Technology,Bengaluru,Ventureast
Technology,Mumbai,Scale Minds
Technology,Bangalore,Google
Real Estate,Mumbai,Hines
Technology,Goa,NB Ventures
Technology,Gurgaon,Undisclosed Investors
Technology,Mumbai,"Apis Partner, Eight Roads Ventures, Bamboo Capital Partners"
Technology,Chennai,Lightbox
Technology,Mumbai,Eduardo Saverin
E-Commerce,Mumbai,Kalpvriksh
Healthcare,Gurgaon,Somerset Indus Capital Ventures
Ecommerce,Chennai,IDG Ventures
